LOCATION,Country,ap,dwell,eduattain,workhour,employrate,safe,homicide,hincome,hwealth,hexpend,labourinsecu,lexpentancy,healthy,life_satisfaction,unemp,earning,support,room,selfhealth,stackeholder,stdskills,leisure,voter,water,eduyear,choice,Generosity,corruption,positive,negative,confingov,gini
AUS,Australia,6,1.1,77,13.39,72,62.6,0.8,33138,48836,20,3.9,82.2,72.52,7.25,1.32,51148,95,2.3,85,2.7,512,14.35,93,94,19.2,0.92,0.22,0.4,0.79,0.24,0.45,0.35
AUT,Austria,15,1,84,7.32,71,81.2,0.4,31667,55623,21,2.2,81.2,71.65,7.05,1.53,45988,93,1.6,69,1.3,500,14.55,75,93,17.1,0.89,0.07,0.52,0.76,0.2,0.43,0.3
BEL,Belgium,19,2.1,74,4.73,62,69.6,1.1,28700,89057,21,3.6,80.7,71.52,6.95,4.26,48093,88,2.2,74,2.2,509,15.77,89,83,18.8,0.87,-0.06,0.5,0.76,0.26,0.42,0.29
BRA,Brazil,17,6.7,46,9.45,67,39.5,26.7,11487,7566,21,6.6,75,64.83,6.37,0.81,10229,90,0.9,70,1.3,402,14.27,79,73,15.6,0.81,-0.11,0.78,0.76,0.3,0.26,0.56
CAN,Canada,12,0.2,90,3.83,72,81.7,1.5,30474,75775,21,3.9,81.5,72.3,7.24,0.89,48164,94,2.5,89,3,522,14.41,68,90,16.3,0.91,0.2,0.39,0.82,0.24,0.62,0.34
CHE,Switzerland,17,0,88,6.34,80,87.4,0.5,35952,120265,22,1.7,82.9,72.96,7.46,1.71,57082,93,1.8,81,2.6,518,15.01,48,97,17.4,0.93,0.08,0.3,0.78,0.21,0.8,0.33
CHL,Chile,18,9.4,61,13.84,62,50.2,3.8,15094,18172,18,8.1,78.8,71.83,6.58,1.67,21370,82,1.2,59,1.5,436,14.91,49,71,17.1,0.65,0.09,0.86,0.87,0.28,0.2,0.53
CZE,Czech Republic,17,0.7,93,5.99,69,70.1,0.9,18953,20170,26,4.7,78.3,69.42,6.74,2.72,21185,90,1.4,60,2.6,500,15.03,59,88,17.4,0.85,-0.2,0.9,0.76,0.2,0.42,0.27
DEU,Germany,15,0,87,4.96,74,74.6,0.5,31925,49822,22,2.7,80.9,70.86,6.87,2.21,43872,92,1.8,65,2.1,515,15.55,72,94,18.1,0.87,0.14,0.45,0.74,0.19,0.55,0.32
DNK,Denmark,11,0.5,80,2.21,73,85.2,0.3,26945,54839,25,2.3,80.4,70.92,7.56,1.66,49589,96,1.9,72,2.1,498,15.87,86,95,19.6,0.95,0.13,0.21,0.84,0.21,0.47,0.28
ESP,Spain,12,0.1,57,5.61,57,81.6,0.6,22007,29819,23,26.6,83.2,73.96,6.32,12.92,36013,96,1.9,72,1.6,490,15.93,73,71,17.7,0.77,-0.06,0.82,0.65,0.3,0.3,0.34
EST,Estonia,9,7.2,91,3.29,70,67.2,4.8,16565,15728,19,7.6,77.3,67.38,5.65,3.32,21020,90,1.6,53,2.8,526,14.9,64,84,17.8,0.84,-0.16,0.64,0.73,0.18,0.34,0.34
FIN,Finland,7,0.6,87,3.6,69,85.8,1.5,28238,24482,22,2.6,81.1,71.38,7.66,1.97,40742,94,1.9,65,2.3,529,15.17,69,94,19.7,0.95,-0.04,0.25,0.8,0.18,0.49,0.28
FRA,France,14,0.5,75,7.77,64,70.6,0.6,29759,53851,21,4.6,82.3,72.6,6.48,4.21,40828,89,1.8,67,2.1,500,16.36,80,84,16.4,0.79,-0.1,0.62,0.77,0.27,0.28,0.32
GBR,United Kingdom,11,0.4,79,12.83,73,77.8,0.2,26687,69927,23,5.7,81.1,71.14,6.82,2.22,41659,93,1.9,74,2.9,502,14.87,66,87,16.7,0.82,0.24,0.46,0.78,0.23,0.41,0.35
GRC,Greece,15,0.5,68,6.37,49,62.5,1.5,18099,17568,26,32,81.4,71.25,5.3,19.47,26436,83,1.2,74,1.9,466,14.74,64,69,18.5,0.48,-0.27,0.9,0.7,0.34,0.13,0.35
HUN,Hungary,16,5.3,83,3.76,62,53.2,1.2,15614,17774,20,7.8,75.7,67.31,5.45,3.78,21399,82,1.1,57,1.2,487,15.04,62,76,17.2,0.55,-0.2,0.92,0.67,0.24,0.3,0.29
IRL,Ireland,8,0.1,79,4.11,61,77,0.8,22969,31861,20,5,81.1,71.4,7.04,6.98,53286,95,2,82,0.8,516,15.3,70,82,17.8,0.87,0.17,0.4,0.81,0.21,0.57,0.33
ISL,Iceland,7,0,73,13.79,82,78.1,0.3,27918,54275,24,0.7,82.1,72.05,7.51,0.67,56789,96,1.6,77,1.6,484,14.13,81,97,19.6,0.95,0.27,0.72,0.87,0.16,0.36,0.29
ISR,Israel,26,4.4,85,14.74,68,66.3,1.8,22116,50051,21,3.9,82.1,72.31,7.16,0.63,29635,86,1.2,80,0.9,474,13.94,72,65,15.9,0.77,0.15,0.8,0.63,0.26,0.44,0.41
ITA,Italy,18,0.8,59,3.83,57,59.3,0.8,25004,56833,24,11.8,82.8,72.73,5.95,7.79,34744,91,1.4,66,1.5,490,14.89,75,70,16.8,0.62,-0.09,0.9,0.69,0.34,0.24,0.34
JPN,Japan,16,6.4,94,21.89,73,70.2,0.3,27323,92818,22,2.4,83.4,75.09,5.95,1.36,35672,91,1.9,35,1.3,540,14.85,53,87,16,0.84,-0.08,0.7,0.76,0.19,0.36,0.32
KOR,Korea,29,4.2,85,23.12,65,67.7,1.1,19372,30852,16,2.1,81.8,74.85,5.97,0.01,36653,76,1.4,35,2.4,542,14.7,76,78,17.5,0.59,0.01,0.86,0.68,0.23,0.24,0.28
LUX,Luxembourg,15,0.1,82,3.27,67,70.6,0.2,40914,64500,21,2.1,81.9,72.9,6.97,1.6,61511,93,2,72,1.5,490,15.17,91,85,15.1,0.88,0,0.36,0.76,0.19,0.68,0.32
LVA,Latvia,12,14.7,90,2.45,66,61.6,6.1,13655,9837,26,8,74.1,65.52,5.94,4.67,22270,84,1.2,50,2.4,494,13.83,59,76,17.8,0.69,-0.16,0.87,0.65,0.23,0.32,0.36
MEX,Mexico,12,4.2,34,28.28,60,39.9,23.4,12806,9856,22,5.2,74.6,67.97,6.82,0.06,12850,75,1,66,3.5,417,12.8,63,68,14.4,0.75,-0.16,0.81,0.86,0.22,0.28,0.49
NLD,Netherlands,17,0,76,0.44,73,80.5,0.8,27759,71251,19,3.1,81.4,71.27,7.54,2.98,51003,88,1.9,76,1.3,519,15.9,75,94,17.9,0.91,0.23,0.43,0.84,0.21,0.57,0.29
NOR,Norway,6,0,82,3.05,75,89.6,1,33393,16930,18,1.5,81.8,70.78,7.6,0.41,51718,93,2,76,1.9,496,15.56,78,97,18,0.95,0.11,0.41,0.85,0.21,0.66,0.28
NZL,New Zealand,9,0.3,74,13.78,74,64.4,1.2,23213,81271,23,4.9,81.4,71.47,7.23,0.78,45183,99,2.4,90,2.5,509,14.87,77,92,18,0.93,0.26,0.28,0.83,0.21,0.57,0.34
POL,Poland,17,3.1,91,7.25,62,66.1,1,17820,12902,22,8.9,77.1,67.66,6.16,3.26,23649,86,1.1,58,2.6,521,14.42,55,80,17.9,0.87,-0.1,0.85,0.78,0.22,0.38,0.34
PRT,Portugal,10,1,43,9.77,63,69.2,0.9,19882,29563,19,11.7,80.8,70.76,5.45,8.28,23977,85,1.7,46,1.2,488,14.72,56,89,17.4,0.84,-0.23,0.92,0.68,0.33,0.35,0.37
RUS,Russia,14,14.4,95,0.18,69,52.9,11.3,17006,3687,11,5.1,70.7,62.21,5.85,1.45,26977,91,0.9,39,0.8,481,14.91,65,49,16.1,0.71,-0.19,0.93,0.64,0.14,0.58,0.4
SVN,Slovenia,14,0.6,86,5.5,64,83.9,0.4,19130,17271,19,5.2,80.4,70.8,5.94,5.27,33068,89,1.5,65,2.8,499,14.75,52,91,18.3,0.9,-0.06,0.84,0.63,0.27,0.25,0.26
SWE,Sweden,7,0,82,1.1,75,76.8,0.8,28859,69899,20,5.2,82,71.96,7.37,1.33,40994,92,1.8,81,2,482,15.18,86,95,19.1,0.92,0.13,0.25,0.82,0.2,0.49,0.27
TUR,Turkey,17,7.6,36,39.26,50,60.4,1.7,13471,3886,21,9.1,76.6,65.6,5.33,2.04,15992,84,1.1,68,2.1,462,12.24,85,63,16.9,0.64,0.13,0.76,0.47,0.39,0.58,0.4
USA,United States,11,0.1,90,11.69,68,73.9,5.2,41071,163268,19,5.2,78.8,70.13,6.8,1.42,57139,90,2.4,88,3.2,492,14.47,67,84,17.1,0.76,0.13,0.74,0.81,0.26,0.3,0.41
ZAF,South Africa,14,20.5,65,18.07,43,39.8,9.6,8712,16937,18,22.6,56.8,50.2,4.77,14.37,5429,90,0.7,67,1.6,384,14.73,73,69,15.4,0.77,-0.08,0.81,0.79,0.3,0.48,0.62
